N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
16,92,10.603142,10.603142,5.301571,5.301571,1.000000,1.000000
16,93,7.793288,7.793288,4.021761,4.021761,1.032109,1.032109
16,94,44.369610,44.369610,22.184805,22.184805,1.000000,1.000000
16,95,23.226159,23.226159,11.613079,11.613079,1.000000,1.000000
16,96,68.924593,68.924593,34.462296,34.462296,1.000000,1.000000
16,97,15.245564,15.245564,7.622782,7.622782,1.000000,1.000000
16,98,49.787380,49.787380,24.893690,24.893690,1.000000,1.000000
16,99,1.759913,1.759913,0.879956,0.879956,1.000000,1.000000
16,100,26.791612,26.791612,13.395806,13.395806,1.000000,1.000000
16,101,20.345975,20.345975,10.301955,10.301955,1.012677,1.012677
16,102,15.797370,15.797370,7.898685,7.898685,1.000000,1.000000
16,103,38.775105,38.775105,19.387553,19.387553,1.000000,1.000000
16,104,138.199825,138.199825,69.099912,69.099912,1.000000,1.000000
16,105,36.352216,36.352216,18.176108,18.176108,1.000000,1.000000
16,106,27.412736,27.412736,13.706368,13.706368,1.000000,1.000000
16,107,22.620712,22.620712,11.310356,11.310356,1.000000,1.000000
16,108,5.309070,5.309070,2.654535,2.654535,1.000000,1.000000
16,109,260.508758,260.508758,130.254379,130.254379,1.000000,1.000000
16,110,33.970779,33.970779,16.985390,16.985390,1.000000,1.000000
16,111,11.226473,11.226473,5.613237,5.613237,1.000000,1.000000
16,112,25.903089,25.903089,12.951545,12.951545,1.000000,1.000000
16,113,15.653416,15.653416,7.826708,7.826708,1.000000,1.000000
16,114,31.208376,31.208376,15.604188,15.604188,1.000000,1.000000
16,115,36.480391,36.480391,18.240195,18.240195,1.000000,1.000000
16,116,193.759092,193.759092,96.879546,96.879546,1.000000,1.000000
16,117,20.183909,20.183909,10.091954,10.091954,1.000000,1.000000
16,118,34.638643,34.638643,17.323815,17.323815,1.000259,1.000259
16,119,40.028641,40.028641,20.014321,20.014321,1.000000,1.000000
16,120,3.108681,3.108681,1.554341,1.554341,1.000000,1.000000
16,121,9.796183,9.796183,4.898091,4.898091,1.000000,1.000000
16,122,93.631565,93.631565,46.815783,46.815783,1.000000,1.000000
16,123,7.565597,7.565597,3.782798,3.782798,1.000000,1.000000
16,124,35.827145,35.827145,17.913572,17.913572,1.000000,1.000000
16,125,25.737579,25.737579,12.868790,12.868790,1.000000,1.000000
16,126,28.804380,28.804380,14.448341,14.448341,1.003204,1.003204
16,127,26.908152,26.908152,13.454076,13.454076,1.000000,1.000000
16,128,15.970116,15.970116,7.985058,7.985058,1.000000,1.000000
16,129,17.492095,17.492095,8.746048,8.746048,1.000000,1.000000
16,130,26.980075,26.980075,13.490037,13.490037,1.000000,1.000000
16,131,22.713473,22.713473,11.356737,11.356737,1.000000,1.000000
16,132,16.597621,16.597621,8.334103,8.334103,1.004253,1.004253
16,133,17.464226,17.464226,8.732113,8.732113,1.000000,1.000000
16,134,42.491912,42.491912,21.245956,21.245956,1.000000,1.000000
16,135,32.070578,32.070578,16.035289,16.035289,1.000000,1.000000
16,136,16.025414,16.025414,8.012707,8.012707,1.000000,1.000000
16,137,33.226981,33.226981,16.613491,16.613491,1.000000,1.000000
16,138,18.521570,18.521570,9.260785,9.260785,1.000000,1.000000
16,139,36.328330,36.328330,18.164165,18.164165,1.000000,1.000000
16,140,47.206734,47.206734,23.603367,23.603367,1.000000,1.000000
16,141,14.473740,14.473740,7.268246,7.268246,1.004336,1.004336
16,142,5.290657,5.290657,2.651390,2.651390,1.002291,1.002291
16,143,19.388660,19.388660,9.694330,9.694330,1.000000,1.000000
16,144,24.800567,24.800567,12.400284,12.400284,1.000000,1.000000
16,145,96.008070,96.008070,48.004035,48.004035,1.000000,1.000000
16,146,11.562530,11.562530,5.820246,5.820246,1.006743,1.006743
16,147,16.200410,16.200410,8.100205,8.100205,1.000000,1.000000
16,148,50.147782,50.147782,25.073891,25.073891,1.000000,1.000000
16,149,15.636871,15.636871,7.818435,7.818435,1.000000,1.000000
16,150,430.196133,413.567197,215.098066,206.783599,1.000000,1.000000
16,151,39.862837,39.862837,19.931418,19.931418,1.000000,1.000000
16,152,84.783757,84.783757,42.391878,42.391878,1.000000,1.000000
16,153,18.243660,18.243660,9.121830,9.121830,1.000000,1.000000
16,154,37.853384,37.853384,18.926692,18.926692,1.000000,1.000000
