N,scene_idx,D_m,D_ref_m,R_star_m,R_star_ref_m,q,q_ref
32,154,37.853384,37.853384,18.926692,18.926692,1.000000,1.000000
32,155,3.501501,3.501501,1.750750,1.750750,1.000000,1.000000
32,156,7.962410,7.962410,3.982158,3.982158,1.000239,1.000239
32,157,4.433186,4.433186,2.216593,2.216593,1.000000,1.000000
32,158,31.696123,31.696123,15.848062,15.848062,1.000000,1.000000
32,159,56.650584,56.650584,28.325292,28.325292,1.000000,1.000000
32,160,11.069909,11.069909,5.593901,5.593901,1.010650,1.010650
32,161,29.498145,29.498145,14.749072,14.749072,1.000000,1.000000
32,162,108.633057,108.633057,54.316529,54.316529,1.000000,1.000000
32,163,36.131219,36.131219,18.065609,18.065609,1.000000,1.000000
32,164,15.618723,15.618723,7.809362,7.809362,1.000000,1.000000
32,165,26.906170,26.906170,13.453085,13.453085,1.000000,1.000000
32,166,48.538075,48.538075,24.269037,24.269037,1.000000,1.000000
32,167,8.931870,8.931870,4.465935,4.465935,1.000000,1.000000
32,168,7.278977,7.278977,3.639489,3.639489,1.000000,1.000000
32,169,8.550181,8.550181,4.275090,4.275090,1.000000,1.000000
32,170,14.134880,14.134880,7.094487,7.094487,1.003827,1.003827
32,171,1.730299,1.730299,0.865149,0.865149,1.000000,1.000000
32,172,14.424296,14.424296,7.381570,7.381570,1.023491,1.023491
32,173,572.003292,566.219504,286.001646,283.109752,1.000000,1.000000
32,174,16.874849,16.874849,8.437424,8.437424,1.000000,1.000000
32,175,68.599372,68.599372,34.299686,34.299686,1.000000,1.000000
32,176,13.262057,13.262057,6.631029,6.631029,1.000000,1.000000
32,177,76.446462,76.446462,38.223231,38.223231,1.000000,1.000000
32,178,3.596418,3.596418,1.800337,1.800337,1.001183,1.001183
32,179,6.684046,6.684046,3.342023,3.342023,1.000000,1.000000
32,180,6.921644,6.921644,3.460822,3.460822,1.000000,1.000000
32,181,29.306752,29.306752,14.653376,14.653376,1.000000,1.000000
32,182,22.734471,22.734471,11.368024,11.368024,1.000069,1.000069
32,183,29.415486,29.415486,14.707743,14.707743,1.000000,1.000000
32,184,10.149808,10.149808,5.085345,5.085345,1.002057,1.002057
32,185,17.062943,17.062943,8.531471,8.531471,1.000000,1.000000
32,186,10.290329,10.290329,5.167715,5.167715,1.004383,1.004383
32,187,53.986247,53.986247,26.993124,26.993124,1.000000,1.000000
32,188,50.164862,50.164862,25.082431,25.082431,1.000000,1.000000
32,189,25.936642,25.936642,12.968321,12.968321,1.000000,1.000000
32,190,9.555313,9.555313,4.777656,4.777656,1.000000,1.000000
32,191,3.177707,3.177707,1.627892,1.627892,1.024570,1.024570
32,192,85.680938,83.028383,42.840469,41.514192,1.000000,1.000000
32,193,29.238862,29.238862,14.619431,14.619431,1.000000,1.000000
32,194,38.078684,38.078684,19.039342,19.039342,1.000000,1.000000
32,195,7.600849,7.600849,3.800424,3.800424,1.000000,1.000000
32,196,62.329345,62.329345,31.164672,31.164672,1.000000,1.000000
32,197,57.118942,57.118942,28.559471,28.559471,1.000000,1.000000
32,198,18.555691,18.555691,9.277846,9.277846,1.000000,1.000000
32,199,62.102321,62.102321,31.051160,31.051160,1.000000,1.000000
32,200,32.292965,32.292965,16.399778,16.399778,1.015687,1.015687
32,201,39.351301,39.351301,19.675651,19.675651,1.000000,1.000000
32,202,74.519831,74.519831,37.259915,37.259915,1.000000,1.000000
32,203,186.725521,186.725521,93.362761,93.362761,1.000000,1.000000
32,204,84.768041,84.768041,42.384021,42.384021,1.000000,1.000000
32,205,11.285263,11.285263,5.642631,5.642631,1.000000,1.000000
32,206,6.812655,6.812655,3.406327,3.406327,1.000000,1.000000
32,207,37.416323,37.416323,18.708161,18.708161,1.000000,1.000000
32,208,53.021861,53.021861,26.510931,26.510931,1.000000,1.000000
32,209,13.324255,13.324255,6.662127,6.662127,1.000000,1.000000
32,210,401.796559,401.796559,200.898279,200.898279,1.000000,1.000000
32,211,2.777072,2.777072,1.388536,1.388536,1.000000,1.000000
32,212,10.901733,10.901733,5.450867,5.450867,1.000000,1.000000
32,213,78.394917,78.394917,39.197458,39.197458,1.000000,1.000000
32,214,11.508793,11.508793,5.915853,5.915853,1.028058,1.028058
32,215,8.541582,8.541582,4.270791,4.270791,1.000000,1.000000
32,216,17.955229,17.955229,8.977614,8.977614,1.000000,1.000000
32,217,18.944138,18.944138,9.472069,9.472069,1.000000,1.000000
32,218,25.968159,25.968159,12.984080,12.984080,1.000000,1.000000
32,219,17.129604,17.129604,8.564802,8.564802,1.000000,1.000000
32,220,36.779135,36.779135,18.389568,18.389568,1.000000,1.000000
32,221,24.086341,24.086341,12.043171,12.043171,1.000000,1.000000
32,222,23.488604,23.488604,11.744302,11.744302,1.000000,1.000000
32,223,10.695035,10.695035,5.347518,5.347518,1.000000,1.000000
32,224,10.353410,10.353410,5.176705,5.176705,1.000000,1.000000
32,225,45.697906,45.594005,22.848953,22.797002,1.000000,1.000000
32,226,29.577055,29.577055,14.788527,14.788527,1.000000,1.000000
32,227,28.012776,28.012776,14.006388,14.006388,1.000000,1.000000
32,228,11.322370,11.322370,5.661185,5.661185,1.000000,1.000000
32,229,35.326367,35.326367,17.663183,17.663183,1.000000,1.000000
32,230,28.455508,28.455508,14.227754,14.227754,1.000000,1.000000
32,231,113.117444,113.117444,56.558722,56.558722,1.000000,1.000000
32,232,80.441957,80.441957,40.220979,40.220979,1.000000,1.000000
32,233,56.320474,56.320474,28.160237,28.160237,1.000000,1.000000
32,234,27.133795,27.133795,13.566898,13.566898,1.000000,1.000000
32,235,44.026652,44.026652,22.013326,22.013326,1.000000,1.000000
32,236,11.404064,11.404064,5.702032,5.702032,1.000000,1.000000
32,237,54.125177,54.125177,27.062589,27.062589,1.000000,1.000000
32,238,14.895042,14.895042,7.447521,7.447521,1.000000,1.000000
32,239,38.119324,38.119324,19.059662,19.059662,1.000000,1.000000
32,240,13.080801,13.080801,6.540400,6.540400,1.000000,1.000000
32,241,9.004691,9.004691,4.604753,4.604753,1.022745,1.022745
32,242,22.340678,22.340678,11.170339,11.170339,1.000000,1.000000
32,243,117.105491,117.105491,58.552745,58.552745,1.000000,1.000000
32,244,13.979348,13.979348,6.989674,6.989674,1.000000,1.000000
32,245,17.515551,17.515551,8.757776,8.757776,1.000000,1.000000
32,246,38.914256,38.914256,19.457128,19.457128,1.000000,1.000000
32,247,20.111878,19.123005,10.055939,9.561503,1.000000,1.000000
32,248,13.181754,13.181754,6.590877,6.590877,1.000000,1.000000
32,249,57.736272,57.736272,28.868136,28.868136,1.000000,1.000000
64,0,55.328518,55.328518,27.664259,27.664259,1.000000,1.000000
64,1,96.754550,96.754550,48.377275,48.377275,1.000000,1.000000
64,2,44.440058,44.440058,22.220029,22.220029,1.000000,1.000000
64,3,12.789796,12.789796,6.394898,6.394898,1.000000,1.000000
64,4,13.646427,13.646427,6.823213,6.823213,1.000000,1.000000
64,5,53.488466,53.488466,26.744233,26.744233,1.000000,1.000000
64,6,11.215961,11.215961,5.608708,5.608708,1.000130,1.000130
64,7,30.117083,30.117083,15.058542,15.058542,1.000000,1.000000
64,8,39.305786,39.305786,19.652893,19.652893,1.000000,1.000000
64,9,54.435027,54.435027,27.217513,27.217513,1.000000,1.000000
64,10,20.748056,20.748056,10.457007,10.457007,1.007999,1.007999
64,11,18.815016,18.815016,9.407508,9.407508,1.000000,1.000000
64,12,10.792326,10.792326,5.396163,5.396163,1.000000,1.000000
64,13,4.393735,4.393735,2.196868,2.196868,1.000000,1.000000
64,14,28.775258,28.775258,14.387629,14.387629,1.000000,1.000000
64,15,3.162657,3.162657,1.623491,1.623491,1.026663,1.026663
64,16,25.244063,25.244063,12.622031,12.622031,1.000000,1.000000
64,17,87.488653,86.810892,43.744327,43.405446,1.000000,1.000000
64,18,34.439693,34.439693,17.320015,17.320015,1.005817,1.005817
64,19,66.436223,66.436223,33.218112,33.218112,1.000000,1.000000
64,20,10.686944,10.686944,5.343472,5.343472,1.000000,1.000000
64,21,18.382004,18.382004,9.191002,9.191002,1.000000,1.000000
64,22,37.022550,37.022550,18.511275,18.511275,1.000000,1.000000
64,23,36.335415,36.335415,18.167707,18.167707,1.000000,1.000000
64,24,16.004048,16.004048,8.002024,8.002024,1.000000,1.000000
64,25,4.518127,4.518127,2.274688,2.274688,1.006916,1.006916
64,26,61.809079,61.809079,30.904539,30.904539,1.000000,1.000000
64,27,32.654603,32.654603,16.327302,16.327302,1.000000,1.000000
64,28,25.564040,25.564040,12.782020,12.782020,1.000000,1.000000
64,29,30.906809,30.906809,16.002658,16.002658,1.035543,1.035543
64,30,252.858054,252.857141,126.429027,126.428571,1.000000,1.000000
64,31,26.574526,26.574526,13.287263,13.287263,1.000000,1.000000
64,32,59.352967,59.352967,29.676484,29.676484,1.000000,1.000000
64,33,31.854774,31.854774,15.927387,15.927387,1.000000,1.000000
64,34,41.622532,41.622532,20.811266,20.811266,1.000000,1.000000
64,35,19.338517,19.338517,9.669259,9.669259,1.000000,1.000000
64,36,61.499265,61.499265,30.749632,30.749632,1.000000,1.000000
64,37,41.322728,41.322728,20.661364,20.661364,1.000000,1.000000
64,38,16.705523,16.705523,8.562607,8.562607,1.025123,1.025123
64,39,0.841920,0.841920,0.420960,0.420960,1.000000,1.000000
64,40,23.299302,23.299302,11.649651,11.649651,1.000000,1.000000
64,41,9.589048,9.589048,4.794524,4.794524,1.000000,1.000000
64,42,23.492947,23.492947,11.746473,11.746473,1.000000,1.000000
64,43,30.058940,30.058940,15.029470,15.029470,1.000000,1.000000
64,44,22.014692,22.014692,11.007346,11.007346,1.000000,1.000000
64,45,25.273059,25.273059,12.637253,12.637253,1.000057,1.000057
64,46,25.395536,25.395536,12.697768,12.697768,1.000000,1.000000
64,47,9.840210,9.840210,5.001612,5.001612,1.016566,1.016566
64,48,65.921613,65.921613,32.960806,32.960806,1.000000,1.000000
64,49,59.126253,59.126253,29.604717,29.603876,1.001407,1.001378
64,50,136.283979,136.283979,68.141989,68.141989,1.000000,1.000000
64,51,45.143505,45.143505,23.045487,23.045487,1.020988,1.020988
64,52,45.094400,45.094400,22.547200,22.547200,1.000000,1.000000
64,53,38.492334,38.492334,19.246167,19.246167,1.000000,1.000000
64,54,69.411585,69.411585,34.705793,34.705793,1.000000,1.000000
64,55,27.731723,27.449535,13.865861,13.724767,1.000000,1.000000
64,56,25.672884,25.672884,12.836442,12.836442,1.000000,1.000000
64,57,33.615196,33.615196,16.807598,16.807598,1.000000,1.000000
64,58,45.268384,45.268384,22.634192,22.634192,1.000000,1.000000
64,59,17.871118,17.871118,8.935559,8.935559,1.000000,1.000000
64,60,46.471570,46.471570,23.235785,23.235785,1.000000,1.000000
64,61,59.770727,59.766269,29.885364,29.883134,1.000000,1.000000
64,62,8.954748,8.954748,4.477374,4.477374,1.000000,1.000000
64,63,29.384372,29.384372,14.692186,14.692186,1.000000,1.000000
64,64,58.906347,58.903523,29.453173,29.451762,1.000000,1.000000
64,65,73.519651,73.519651,36.759825,36.759825,1.000000,1.000000
64,66,4.692501,4.692501,2.347271,2.347271,1.000435,1.000435
64,67,8.109933,8.109933,4.054966,4.054966,1.000000,1.000000
64,68,132.819140,132.819140,66.409570,66.409570,1.000000,1.000000
64,69,7.973745,7.973745,4.043888,4.043888,1.014301,1.014301
64,70,28.721334,28.721334,14.360667,14.360667,1.000000,1.000000
64,71,20.972215,20.972215,10.486108,10.486108,1.000000,1.000000
64,72,39.040402,39.040402,19.520201,19.520201,1.000000,1.000000
64,73,15.367949,15.367949,7.683974,7.683974,1.000000,1.000000
64,74,46.160205,46.160205,23.080102,23.080102,1.000000,1.000000
64,75,13.398184,13.398184,6.699092,6.699092,1.000000,1.000000
64,76,21.941573,21.941573,10.970787,10.970787,1.000000,1.000000
64,77,19.928088,19.928088,9.964044,9.964044,1.000000,1.000000
64,78,30.810725,30.810725,15.405362,15.405362,1.000000,1.000000
64,79,12.636020,12.636020,6.318010,6.318010,1.000000,1.000000
64,80,64.371822,64.371822,32.185911,32.185911,1.000000,1.000000
64,81,36.285200,36.285200,18.170046,18.170046,1.001513,1.001513
64,82,11.851353,11.851353,5.925676,5.925676,1.000000,1.000000
64,83,62.763892,61.661974,31.381946,30.830987,1.000000,1.000000
64,84,17.388550,17.388550,8.694275,8.694275,1.000000,1.000000
64,85,29.186433,29.186433,14.741829,14.741829,1.010184,1.010184
64,86,81.144316,81.144316,40.572158,40.572158,1.000000,1.000000
64,87,21.928633,21.928633,10.964316,10.964316,1.000000,1.000000
64,88,42.433627,41.419658,21.216813,20.709829,1.000000,1.000000
64,89,75.153552,75.153552,37.576776,37.576776,1.000000,1.000000
64,90,26.629706,26.629706,13.314853,13.314853,1.000000,1.000000
64,91,28.341088,28.341088,14.170544,14.170544,1.000000,1.000000
64,92,10.603142,10.603142,5.301571,5.301571,1.000000,1.000000
64,93,7.793288,7.793288,4.021761,4.021761,1.032109,1.032109
64,94,44.369610,44.369610,22.184805,22.184805,1.000000,1.000000
64,95,23.226159,23.226159,11.613079,11.613079,1.000000,1.000000
64,96,68.924593,68.924593,34.462296,34.462296,1.000000,1.000000
64,97,15.245564,15.245564,7.622782,7.622782,1.000000,1.000000
64,98,49.787380,49.787380,24.893690,24.893690,1.000000,1.000000
64,99,1.759913,1.759913,0.879956,0.879956,1.000000,1.000000
64,100,26.791612,26.791612,13.395806,13.395806,1.000000,1.000000
64,101,20.345975,20.345975,10.301955,10.301955,1.012677,1.012677
64,102,15.797370,15.797370,7.898685,7.898685,1.000000,1.000000
64,103,38.775105,38.775105,19.387553,19.387553,1.000000,1.000000
64,104,138.199825,138.199825,69.099912,69.099912,1.000000,1.000000
64,105,36.352216,36.352216,18.176108,18.176108,1.000000,1.000000
64,106,27.412736,27.412736,13.706368,13.706368,1.000000,1.000000
64,107,22.620712,22.620712,11.310356,11.310356,1.000000,1.000000
64,108,5.309070,5.309070,2.654535,2.654535,1.000000,1.000000
64,109,260.508758,260.508758,130.254379,130.254379,1.000000,1.000000
64,110,33.970779,33.970779,16.985390,16.985390,1.000000,1.000000
64,111,11.226473,11.226473,5.613237,5.613237,1.000000,1.000000
64,112,25.903089,25.903089,12.951545,12.951545,1.000000,1.000000
64,113,15.653416,15.653416,7.826708,7.826708,1.000000,1.000000
64,114,31.208376,31.208376,15.604188,15.604188,1.000000,1.000000
64,115,36.480391,36.480391,18.240195,18.240195,1.000000,1.000000
64,116,193.759092,193.759092,96.879546,96.879546,1.000000,1.000000
64,117,20.183909,20.183909,10.091954,10.091954,1.000000,1.000000
64,118,34.638643,34.638643,17.323815,17.323815,1.000259,1.000259
64,119,40.028641,40.028641,20.014321,20.014321,1.000000,1.000000
64,120,3.108681,3.108681,1.554341,1.554341,1.000000,1.000000
64,121,9.796183,9.796183,4.898091,4.898091,1.000000,1.000000
64,122,93.631565,93.631565,46.815783,46.815783,1.000000,1.000000
64,123,7.565597,7.565597,3.782798,3.782798,1.000000,1.000000
64,124,35.827145,35.827145,17.913572,17.913572,1.000000,1.000000
64,125,25.737579,25.737579,12.868790,12.868790,1.000000,1.000000
64,126,28.804380,28.804380,14.448341,14.448341,1.003204,1.003204
64,127,26.908152,26.908152,13.454076,13.454076,1.000000,1.000000
64,128,15.970116,15.970116,7.985058,7.985058,1.000000,1.000000
64,129,17.492095,17.492095,8.746048,8.746048,1.000000,1.000000
64,130,26.980075,26.980075,13.490037,13.490037,1.000000,1.000000
64,131,22.713473,22.713473,11.356737,11.356737,1.000000,1.000000
64,132,16.597621,16.597621,8.334103,8.334103,1.004253,1.004253
64,133,17.464226,17.464226,8.732113,8.732113,1.000000,1.000000
64,134,42.491912,42.491912,21.245956,21.245956,1.000000,1.000000
64,135,32.070578,32.070578,16.035289,16.035289,1.000000,1.000000
64,136,16.025414,16.025414,8.012707,8.012707,1.000000,1.000000
64,137,33.226981,33.226981,16.613491,16.613491,1.000000,1.000000
64,138,18.521570,18.521570,9.260785,9.260785,1.000000,1.000000
64,139,36.328330,36.328330,18.164165,18.164165,1.000000,1.000000
64,140,47.206734,47.206734,23.603367,23.603367,1.000000,1.000000
64,141,14.473740,14.473740,7.268246,7.268246,1.004336,1.004336
64,142,5.290657,5.290657,2.651390,2.651390,1.002291,1.002291
64,143,19.388660,19.388660,9.694330,9.694330,1.000000,1.000000
64,144,24.800567,24.800567,12.400284,12.400284,1.000000,1.000000
64,145,96.008070,96.008070,48.004035,48.004035,1.000000,1.000000
64,146,11.562530,11.562530,5.820246,5.820246,1.006743,1.006743
64,147,16.200410,16.200410,8.100205,8.100205,1.000000,1.000000
64,148,50.147782,50.147782,25.073891,25.073891,1.000000,1.000000
64,149,15.636871,15.636871,7.818435,7.818435,1.000000,1.000000
64,150,415.275857,413.567197,207.637928,206.783599,1.000000,1.000000
64,151,39.862837,39.862837,19.931418,19.931418,1.000000,1.000000
64,152,84.783757,84.783757,42.391878,42.391878,1.000000,1.000000
64,153,18.243660,18.243660,9.121830,9.121830,1.000000,1.000000
64,154,37.853384,37.853384,18.926692,18.926692,1.000000,1.000000
64,155,3.501501,3.501501,1.750750,1.750750,1.000000,1.000000
64,156,7.962410,7.962410,3.982158,3.982158,1.000239,1.000239
64,157,4.433186,4.433186,2.216593,2.216593,1.000000,1.000000
64,158,31.696123,31.696123,15.848062,15.848062,1.000000,1.000000
64,159,56.650584,56.650584,28.325292,28.325292,1.000000,1.000000
64,160,11.069909,11.069909,5.593901,5.593901,1.010650,1.010650
64,161,29.498145,29.498145,14.749072,14.749072,1.000000,1.000000
64,162,108.633057,108.633057,54.316529,54.316529,1.000000,1.000000
64,163,36.131219,36.131219,18.065609,18.065609,1.000000,1.000000
64,164,15.618723,15.618723,7.809362,7.809362,1.000000,1.000000
64,165,26.906170,26.906170,13.453085,13.453085,1.000000,1.000000
64,166,48.538075,48.538075,24.269037,24.269037,1.000000,1.000000
64,167,8.931870,8.931870,4.465935,4.465935,1.000000,1.000000
64,168,7.278977,7.278977,3.639489,3.639489,1.000000,1.000000
64,169,8.550181,8.550181,4.275090,4.275090,1.000000,1.000000
64,170,14.134880,14.134880,7.094487,7.094487,1.003827,1.003827
64,171,1.730299,1.730299,0.865149,0.865149,1.000000,1.000000
64,172,14.424296,14.424296,7.381570,7.381570,1.023491,1.023491
64,173,569.358524,566.219504,284.679262,283.109752,1.000000,1.000000
64,174,16.874849,16.874849,8.437424,8.437424,1.000000,1.000000
64,175,68.599372,68.599372,34.299686,34.299686,1.000000,1.000000
64,176,13.262057,13.262057,6.631029,6.631029,1.000000,1.000000
64,177,76.446462,76.446462,38.223231,38.223231,1.000000,1.000000
64,178,3.596418,3.596418,1.800337,1.800337,1.001183,1.001183
64,179,6.684046,6.684046,3.342023,3.342023,1.000000,1.000000
64,180,6.921644,6.921644,3.460822,3.460822,1.000000,1.000000
64,181,29.306752,29.306752,14.653376,14.653376,1.000000,1.000000
64,182,22.734471,22.734471,11.368024,11.368024,1.000069,1.000069
64,183,29.415486,29.415486,14.707743,14.707743,1.000000,1.000000
64,184,10.149808,10.149808,5.085345,5.085345,1.002057,1.002057
64,185,17.062943,17.062943,8.531471,8.531471,1.000000,1.000000
64,186,10.290329,10.290329,5.167715,5.167715,1.004383,1.004383
64,187,53.986247,53.986247,26.993124,26.993124,1.000000,1.000000
64,188,50.164862,50.164862,25.082431,25.082431,1.000000,1.000000
64,189,25.936642,25.936642,12.968321,12.968321,1.000000,1.000000
64,190,9.555313,9.555313,4.777656,4.777656,1.000000,1.000000
64,191,3.177707,3.177707,1.627892,1.627892,1.024570,1.024570
64,192,83.638903,83.028383,41.819451,41.514192,1.000000,1.000000
64,193,29.238862,29.238862,14.619431,14.619431,1.000000,1.000000
64,194,38.078684,38.078684,19.039342,19.039342,1.000000,1.000000
64,195,7.600849,7.600849,3.800424,3.800424,1.000000,1.000000
64,196,62.329345,62.329345,31.164672,31.164672,1.000000,1.000000
64,197,57.118942,57.118942,28.559471,28.559471,1.000000,1.000000
64,198,18.555691,18.555691,9.277846,9.277846,1.000000,1.000000
64,199,62.102321,62.102321,31.051160,31.051160,1.000000,1.000000
64,200,32.292965,32.292965,16.399778,16.399778,1.015687,1.015687
64,201,39.351301,39.351301,19.675651,19.675651,1.000000,1.000000
64,202,74.519831,74.519831,37.259915,37.259915,1.000000,1.000000
64,203,186.725521,186.725521,93.362761,93.362761,1.000000,1.000000
64,204,84.768041,84.768041,42.384021,42.384021,1.000000,1.000000
64,205,11.285263,11.285263,5.642631,5.642631,1.000000,1.000000
64,206,6.812655,6.812655,3.406327,3.406327,1.000000,1.000000
64,207,37.416323,37.416323,18.708161,18.708161,1.000000,1.000000
64,208,53.021861,53.021861,26.510931,26.510931,1.000000,1.000000
64,209,13.324255,13.324255,6.662127,6.662127,1.000000,1.000000
64,210,401.796559,401.796559,200.898279,200.898279,1.000000,1.000000
64,211,2.777072,2.777072,1.388536,1.388536,1.000000,1.000000
64,212,10.901733,10.901733,5.450867,5.450867,1.000000,1.000000
64,213,78.394917,78.394917,39.197458,39.197458,1.000000,1.000000
64,214,11.508793,11.508793,5.915853,5.915853,1.028058,1.028058
64,215,8.541582,8.541582,4.270791,4.270791,1.000000,1.000000
64,216,17.955229,17.955229,8.977614,8.977614,1.000000,1.000000
64,217,18.944138,18.944138,9.472069,9.472069,1.000000,1.000000
64,218,25.968159,25.968159,12.984080,12.984080,1.000000,1.000000
64,219,17.129604,17.129604,8.564802,8.564802,1.000000,1.000000
64,220,36.779135,36.779135,18.389568,18.389568,1.000000,1.000000
64,221,24.086341,24.086341,12.043171,12.043171,1.000000,1.000000
64,222,23.488604,23.488604,11.744302,11.744302,1.000000,1.000000
64,223,10.695035,10.695035,5.347518,5.347518,1.000000,1.000000
64,224,10.353410,10.353410,5.176705,5.176705,1.000000,1.000000
64,225,45.697906,45.594005,22.848953,22.797002,1.000000,1.000000
64,226,29.577055,29.577055,14.788527,14.788527,1.000000,1.000000
64,227,28.012776,28.012776,14.006388,14.006388,1.000000,1.000000
64,228,11.322370,11.322370,5.661185,5.661185,1.000000,1.000000
64,229,35.326367,35.326367,17.663183,17.663183,1.000000,1.000000
64,230,28.455508,28.455508,14.227754,14.227754,1.000000,1.000000
64,231,113.117444,113.117444,56.558722,56.558722,1.000000,1.000000
64,232,80.441957,80.441957,40.220979,40.220979,1.000000,1.000000
64,233,56.320474,56.320474,28.160237,28.160237,1.000000,1.000000
64,234,27.133795,27.133795,13.566898,13.566898,1.000000,1.000000
64,235,44.026652,44.026652,22.013326,22.013326,1.000000,1.000000
64,236,11.404064,11.404064,5.702032,5.702032,1.000000,1.000000
64,237,54.125177,54.125177,27.062589,27.062589,1.000000,1.000000
64,238,14.895042,14.895042,7.447521,7.447521,1.000000,1.000000
64,239,38.119324,38.119324,19.059662,19.059662,1.000000,1.000000
64,240,13.080801,13.080801,6.540400,6.540400,1.000000,1.000000
64,241,9.004691,9.004691,4.604753,4.604753,1.022745,1.022745
64,242,22.340678,22.340678,11.170339,11.170339,1.000000,1.000000
64,243,117.105491,117.105491,58.552745,58.552745,1.000000,1.000000
64,244,13.979348,13.979348,6.989674,6.989674,1.000000,1.000000
64,245,17.515551,17.515551,8.757776,8.757776,1.000000,1.000000
64,246,38.914256,38.914256,19.457128,19.457128,1.000000,1.000000
64,247,19.628233,19.123005,9.814116,9.561503,1.000000,1.000000
64,248,13.181754,13.181754,6.590877,6.590877,1.000000,1.000000
64,249,57.736272,57.736272,28.868136,28.868136,1.000000,1.000000
128,0,55.328518,55.328518,27.664259,27.664259,1.000000,1.000000
128,1,96.754550,96.754550,48.377275,48.377275,1.000000,1.000000
128,2,44.440058,44.440058,22.220029,22.220029,1.000000,1.000000
128,3,12.789796,12.789796,6.394898,6.394898,1.000000,1.000000
128,4,13.646427,13.646427,6.823213,6.823213,1.000000,1.000000
128,5,53.488466,53.488466,26.744233,26.744233,1.000000,1.000000
128,6,11.215961,11.215961,5.608708,5.608708,1.000130,1.000130
128,7,30.117083,30.117083,15.058542,15.058542,1.000000,1.000000
128,8,39.305786,39.305786,19.652893,19.652893,1.000000,1.000000
128,9,54.435027,54.435027,27.217513,27.217513,1.000000,1.000000
128,10,20.748056,20.748056,10.457007,10.457007,1.007999,1.007999
128,11,18.815016,18.815016,9.407508,9.407508,1.000000,1.000000
128,12,10.792326,10.792326,5.396163,5.396163,1.000000,1.000000
128,13,4.393735,4.393735,2.196868,2.196868,1.000000,1.000000
128,14,28.775258,28.775258,14.387629,14.387629,1.000000,1.000000
128,15,3.162657,3.162657,1.623491,1.623491,1.026663,1.026663
128,16,25.244063,25.244063,12.622031,12.622031,1.000000,1.000000
128,17,87.157725,86.810892,43.578862,43.405446,1.000000,1.000000
128,18,34.439693,34.439693,17.320015,17.320015,1.005817,1.005817
128,19,66.436223,66.436223,33.218112,33.218112,1.000000,1.000000
128,20,10.686944,10.686944,5.343472,5.343472,1.000000,1.000000
128,21,18.382004,18.382004,9.191002,9.191002,1.000000,1.000000
128,22,37.022550,37.022550,18.511275,18.511275,1.000000,1.000000
128,23,36.335415,36.335415,18.167707,18.167707,1.000000,1.000000
128,24,16.004048,16.004048,8.002024,8.002024,1.000000,1.000000
128,25,4.518127,4.518127,2.274688,2.274688,1.006916,1.006916
128,26,61.809079,61.809079,30.904539,30.904539,1.000000,1.000000
128,27,32.654603,32.654603,16.327302,16.327302,1.000000,1.000000
128,28,25.564040,25.564040,12.782020,12.782020,1.000000,1.000000
128,29,30.906809,30.906809,16.002658,16.002658,1.035543,1.035543
128,30,252.858054,252.857141,126.429027,126.428571,1.000000,1.000000
128,31,26.574526,26.574526,13.287263,13.287263,1.000000,1.000000
128,32,59.352967,59.352967,29.676484,29.676484,1.000000,1.000000
128,33,31.854774,31.854774,15.927387,15.927387,1.000000,1.000000
128,34,41.622532,41.622532,20.811266,20.811266,1.000000,1.000000
128,35,19.338517,19.338517,9.669259,9.669259,1.000000,1.000000
128,36,61.499265,61.499265,30.749632,30.749632,1.000000,1.000000
128,37,41.322728,41.322728,20.661364,20.661364,1.000000,1.000000
128,38,16.705523,16.705523,8.562607,8.562607,1.025123,1.025123
128,39,0.841920,0.841920,0.420960,0.420960,1.000000,1.000000
128,40,23.299302,23.299302,11.649651,11.649651,1.000000,1.000000
128,41,9.589048,9.589048,4.794524,4.794524,1.000000,1.000000
128,42,23.492947,23.492947,11.746473,11.746473,1.000000,1.000000
128,43,30.058940,30.058940,15.029470,15.029470,1.000000,1.000000
128,44,22.014692,22.014692,11.007346,11.007346,1.000000,1.000000
128,45,25.273059,25.273059,12.637253,12.637253,1.000057,1.000057
128,46,25.395536,25.395536,12.697768,12.697768,1.000000,1.000000
128,47,9.840210,9.840210,5.001612,5.001612,1.016566,1.016566
128,48,65.921613,65.921613,32.960806,32.960806,1.000000,1.000000
128,49,59.126253,59.126253,29.604717,29.603876,1.001407,1.001378
128,50,136.283979,136.283979,68.141989,68.141989,1.000000,1.000000
128,51,45.143505,45.143505,23.045487,23.045487,1.020988,1.020988
128,52,45.094400,45.094400,22.547200,22.547200,1.000000,1.000000
128,53,38.492334,38.492334,19.246167,19.246167,1.000000,1.000000
128,54,69.411585,69.411585,34.705793,34.705793,1.000000,1.000000
128,55,27.731723,27.449535,13.865861,13.724767,1.000000,1.000000
128,56,25.672884,25.672884,12.836442,12.836442,1.000000,1.000000
128,57,33.615196,33.615196,16.807598,16.807598,1.000000,1.000000
128,58,45.268384,45.268384,22.634192,22.634192,1.000000,1.000000
128,59,17.871118,17.871118,8.935559,8.935559,1.000000,1.000000
128,60,46.471570,46.471570,23.235785,23.235785,1.000000,1.000000
128,61,59.770727,59.766269,29.885364,29.883134,1.000000,1.000000
128,62,8.954748,8.954748,4.477374,4.477374,1.000000,1.000000
128,63,29.384372,29.384372,14.692186,14.692186,1.000000,1.000000
