case,n,status,D_m,q,covered,true_source_contained
7,2,bounded,29.39124305510628,1.0,True,True
7,3,bounded,23.9826723136725,1.0000000000000095,True,True
7,5,bounded,23.9826723136725,1.0000000000000095,True,True
7,8,bounded,4.600823809400696,1.0582183947950263,False,True
7,12,bounded,3.6163474866915712,1.1034829295628918,False,True
8,2,bounded,5.292422408465966,1.0000000000000107,True,True
8,3,bounded,4.979715687069582,1.0000114153773323,False,True
8,5,bounded,4.97971568706951,1.0000114153773305,False,True
8,8,bounded,4.979715687069582,1.0000114153773256,False,True
8,12,bounded,2.8316606936324553,1.0248575879742925,False,True
9,2,bounded,34.749436571785886,1.0,True,True
9,3,bounded,18.715126585634692,1.0000000000000135,True,True
9,5,bounded,8.25725497884213,1.016143734037825,False,True
9,8,bounded,6.815454769276864,1.0000000000000078,True,True
9,12,bounded,3.7634647750549166,1.048183217316618,False,True
10,2,bounded,264.92257971032365,1.0000000000000004,True,True
10,3,bounded,20.691187031128333,1.0000000000000033,True,True
10,5,bounded,6.7889610983849735,1.0054119383739653,False,True
10,8,bounded,5.714806279952891,1.0096097168027012,False,True
10,12,bounded,4.000068099175186,1.0104430088994973,False,True
11,2,bounded,160.42187885433086,1.0000000000000013,True,True
11,3,bounded,64.1330123299309,1.000000000000003,True,True
11,5,bounded,11.34708106795275,1.000000000000016,True,True
11,8,bounded,8.755098162654281,1.000353597612807,False,True
11,12,bounded,5.416611208307705,1.0002393552668543,False,True
12,2,bounded,52.947252791906756,1.0,True,True
12,3,bounded,12.410063599579185,1.0,True,True
12,5,bounded,4.365228459821115,1.011520074022776,False,True
12,8,bounded,4.365228459821195,1.011520074022788,False,True
12,12,bounded,1.8814898885889364,1.0000000000000082,True,True
13,2,bounded,76.52243462402261,1.0,True,True
13,3,bounded,47.667404233227764,1.0000000000000009,True,True
13,5,bounded,9.367433523363804,1.019187736915199,False,True
13,8,bounded,5.73094822926126,1.0000000000000033,True,True
13,12,bounded,5.6434388977625405,1.0,True,True
14,2,bounded,101.5296623897047,1.0000000000000016,True,True
14,3,bounded,19.97033923263352,1.0000000000000002,True,True
14,5,bounded,19.970339232633517,1.0,True,True
14,8,bounded,10.122587046500087,1.0000000000000089,True,True
14,12,bounded,10.12258704650019,1.0000000000000089,True,True
