pose,case,strategy,S1_x,S1_y,G_x,G_y,R_true,e1,e2,bearing1,S2_x,S2_y,status,D_upper,D_lower,optical_guaranteed,bracket_width
center,2,perpendicular_1000,0.0,0.0,-64.4876817116632,164.1568269418521,1138.5410265672742,0.4982603034274542,-0.3671494232777981,111.945240623651,-927.5414543460818,-373.72028372775725,direction,37.400998143439196,37.40099787785047,True,2.6558872434634395e-07
center,2,random_omega,0.0,0.0,-64.4876817116632,164.1568269418521,1138.5410265672742,0.4982603034274542,-0.3671494232777981,111.945240623651,-316.0961078204519,-419.82015384598094,direction,37.071476779293924,37.07147627695296,True,5.023409670457113e-07
center,3,minimax,0.0,0.0,-185.97592822207707,103.90560725379966,1027.868453235677,0.6667731527116914,-0.4422055419353417,151.47447980453444,-1001.2112675483526,-76.71230830104992,direction,53.87677899886002,53.87677843607146,False,5.627885570902436e-07
center,3,along_750,0.0,0.0,-185.97592822207707,103.90560725379966,1027.868453235677,0.6667731527116914,-0.4422055419353417,151.47447980453444,-658.9533701439243,358.1626110804481,direction,740.0020077810289,740.0018195650114,False,0.0001882160174773162
center,3,perpendicular_1000,0.0,0.0,-185.97592822207707,103.90560725379966,1027.868453235677,0.6667731527116914,-0.4422055419353417,151.47447980453444,-477.5501481072641,-878.6044935252324,direction,38.51104840969515,38.51104813165331,True,2.780418384418226e-07
center,3,random_omega,0.0,0.0,-185.97592822207707,103.90560725379966,1027.868453235677,0.6667731527116914,-0.4422055419353417,151.47447980453444,1042.9095894291222,1004.7627656391178,no_signal,,,False,
center,4,minimax,0.0,0.0,-676.9448419341637,-439.8387804310092,1429.2829433977026,-0.8777214559994742,-0.08886043037479352,-147.86428946414182,-423.6928852937894,-910.3807552129373,direction,35.126986565703334,35.12698627723493,True,2.8846840649521255e-07
center,4,along_750,0.0,0.0,-676.9448419341637,-439.8387804310092,1429.2829433977026,-0.8777214559994742,-0.08886043037479352,-147.86428946414182,-635.0929154789651,-398.9448441933146,direction,69.55441894809078,69.55432375567594,False,9.519241484667873e-05
center,4,perpendicular_1000,0.0,0.0,-676.9448419341637,-439.8387804310092,1429.2829433977026,-0.8777214559994742,-0.08886043037479352,-147.86428946414182,531.9264589244194,-846.7905539719535,direction,86.20327074496814,86.20327028090682,False,4.640613155970641e-07
center,4,random_omega,0.0,0.0,-676.9448419341637,-439.8387804310092,1429.2829433977026,-0.8777214559994742,-0.08886043037479352,-147.86428946414182,-1432.4256285632819,442.6615383662316,direction,52.8829708628868,52.88297056037659,False,3.025102088827225e-07
center,5,minimax,0.0,0.0,36.4135477261043,-1036.4793474307442,1155.4440165454448,0.9793774989307595,0.27852845363657086,-87.0085371827271,588.7805756254004,-813.4163843179435,direction,49.61131759223573,49.61131725314752,False,3.390882099552073e-07
center,5,along_750,0.0,0.0,36.4135477261043,-1036.4793474307442,1155.4440165454448,0.9793774989307595,0.27852845363657086,-87.0085371827271,39.14036843781162,-748.9779913712767,direction,591.9915554347792,591.9914522447431,False,0.00010319003615677502
center,5,perpendicular_1000,0.0,0.0,36.4135477261043,-1036.4793474307442,1155.4440165454448,0.9793774989307595,0.27852845363657086,-87.0085371827271,998.6373218283691,52.18715791708215,no_signal,,,False,
center,5,random_omega,0.0,0.0,36.4135477261043,-1036.4793474307442,1155.4440165454448,0.9793774989307595,0.27852845363657086,-87.0085371827271,365.7313997179761,1455.7402556398877,no_signal,,,False,
center,6,minimax,0.0,0.0,-1045.871223908884,-583.2190216503692,1398.2987588550711,0.07806111106983882,0.9652258876482576,-150.77617849943695,-469.39333157755664,-887.6816325581915,direction,70.22828350838795,70.22828308773177,False,4.2065617833486613e-07
center,6,along_750,0.0,0.0,-1045.871223908884,-583.2190216503692,1398.2987588550711,0.07806111106983882,0.9652258876482576,-150.77617849943695,-654.5393756493804,-366.166909652578,direction,745.1863551852397,745.1580191671669,False,0.02833601807276409
center,6,perpendicular_1000,0.0,0.0,-1045.871223908884,-583.2190216503692,1398.2987588550711,0.07806111106983882,0.9652258876482576,-150.77617849943695,488.2225462034373,-872.7191675325072,no_signal,,,False,
center,6,random_omega,0.0,0.0,-1045.871223908884,-583.2190216503692,1398.2987588550711,0.07806111106983882,0.9652258876482576,-150.77617849943695,-598.812646988725,-747.6053043403093,direction,73.24642240637671,73.24642192697782,False,4.793988921392156e-07
